OSC2011,HU001,year,id,v5,v6,v7,v8,v9,v10,v11,family,v15,v14,Nfamily,v16,v17,v18,v19,v20,house,v22,v23,v24,v25,age,v27,v28,v29,v30,v31,Income,v33,v34,v35,v36,v37,v38,consumme,shokuryou,juukyo,kounetu,kagu,hihuku,hoken,koutsu,kyouiku,goraku,other,v50,v51,v52,v53,v54,v55
OSC02011,00000HU001,2004,28,1,1,1,1,0,1,3,1,3,1,2,1,5,1,12,1,1,2,1974,99999,1,14,3,99999,99999,5,6412.6884,804.5,2047973.219,385919.0551,1417505.608,244548.5562,2047973.219,821259.465,755222.5631,72853.9402,342628.5354,14712.60142,37277.93151,8246.63631,11950.49597,38384.7579,0,80847.51089,148320.1534,66036.90197,1001447.978,225265.7765,23283.35944,3971.3,381.8
OSC02011,00000HU001,2004,29,1,1,1,1,0,1,3,1,1,0,2,1,7,2,1,2,2,99999,99999,1999,1,7,1,1,1,1,4093.4024,209.9,108951.0051,56768.05129,27212.6259,24970.32791,108951.0051,76493.3292,72341.22402,26337.68564,10543.10341,11626.1135,1144.80113,1361.81656,759.86515,10629.61806,239.23948,5251.74965,4447.23145,4152.10518,16762.26248,15695.41343,5868.65635,138,278
OSC02011,00000HU001,2004,30,1,1,1,0,99999,99999,3,1,1,1,6,2,1,1,11,1,1,1,1937,99999,1,8,1,1,3,2,6930.1747,388.9,336642.8642,205933.1423,85734.43543,44975.28646,336642.8642,175346.6751,157665.1578,52122.29469,15931.5,24028.24913,3725.95479,4878.87058,6749.90384,22050.41681,1840.18646,18093.06853,8244.713,17681.51728,112231.5846,49064.60446,3030.06314,149.4,256.5
OSC02011,00000HU001,2004,31,1,1,1,1,0,0,3,1,1,1,3,1,1,1,8,1,1,1,1980,99999,2,8,2,1,2,2,5321.3468,434.4,136242.0283,95556.34944,14715.62333,25970.05552,136242.0283,92278.36159,91135.3454,33864.49334,6508.02128,12653.58371,1388.34356,1954.85016,3259.46729,8414.06651,2917.5,7898.96575,12276.05381,1143.01619,26970.36879,16993.2979,5711.8498,312.6,36
OSC02011,00000HU001,2004,32,1,1,1,1,0,0,3,1,1,0,5,3,1,1,19,1,1,1,1964,99999,1,8,1,1,5,2,4907.3148,1143.8,1461578.777,773752.4163,572939.187,114887.1741,1461578.777,561753.2303,451032.4,106697.4482,2554.38015,23475.57794,19655.35858,23611.07346,17011.12455,63297.33938,35633.72904,47275.12372,111821.245,110720.8303,799985.2097,99840.33738,8751.43809,2033,534.1
OSC02011,00000HU001,2004,33,1,1,1,1,0,0,3,1,1,1,5,2,1,1,12,1,1,1,1937,99999,1,8,1,1,5,2,7802.8881,897.5,1073450.087,579533.5777,428531.376,65385.1331,1073450.087,478639.3785,384680.2959,81708.46071,14740.47961,22174.91577,24979.85497,17837.24309,43667.06859,28053.79681,53441.25623,44677.23357,53399.98656,93959.08261,532313.4783,62497.23002,8909.91853,1063.2,1351.4
OSC02011,00000HU001,2004,34,1,0,0,0,99999,99999,1,1,1,0,4,2,1,1,8,1,1,1,1926,99999,1,11,1,1,2,2,5014.9393,434.3,213731.9789,128110.0936,51618.90128,34002.98401,213731.9789,118429.4441,115430.0337,39244.59727,12660.25941,17949.18897,4278.89946,3922.39435,2469.32657,17718.00531,2072.79232,6716.25466,8398.3154,2999.41037,65969.28422,29333.25053,720.91413,79.4,5.7
OSC02011,00000HU001,2004,35,1,1,1,1,0,0,3,1,1,0,6,2,1,1,17,1,1,1,99999,99999,1,11,1,1,3,1,4595.1301,565.7,591136.8325,327960.4481,208822.8102,54353.57428,591136.8325,329819.4874,283474.0484,92932.59007,13204.25773,26913.89028,5317.45726,9152.44915,19269.25016,30937.52804,23046.4083,14194.15581,48506.06156,46345.43908,194061.8616,67255.48353,6311.30913,730.1,15.3
OSC02011,00000HU001,2004,36,1,1,1,1,0,0,3,1,1,0,7,2,1,1,14,1,1,1,1927,99999,1,9,1,1,2,1,5057.7793,836.4,909908.7161,431734.2755,340268.033,137906.4077,909908.7161,336920.5735,288819.1773,109820.9722,1323.29559,28726.49567,7284.8857,11969.19697,9091.5764,34768.09729,22115.67294,17439.41396,46279.57063,48101.39623,414873.0388,158115.1038,3021.32878,1338.3,600.9
OSC02011,00000HU001,2004,37,1,1,1,1,0,0,3,1,1,0,4,2,1,2,6,2,2,99999,99999,1999,1,9,1,1,3,2,4857.0825,747.4,906661.9847,491307.6637,342184.8911,73169.42985,906661.9847,406592.901,324112.1665,77827.45935,19480.42154,22560.54611,13099.20735,11161.61751,6089.70693,46101.99088,28869.04621,27099.84782,71822.32286,82480.73441,430083.4519,69985.63189,4117.96678,737.8,760.6
OSC02011,00000HU001,2004,38,1,1,1,1,0,0,3,1,1,1,3,2,1,2,5,2,2,99999,99999,1995,2,9,2,1,3,1,6566.9682,431.8,472565.811,259733.7617,144303.2019,68528.84744,472565.811,232813.7599,205803.923,61609.21144,8370.36318,19650.09902,4862.54272,11125.36645,5686.79471,23728.70012,1409.21497,18039.13932,51322.49109,27009.83685,164239.2103,75512.8408,1827.31201,727,3
OSC02011,00000HU001,2004,39,1,1,1,1,0,0,3,1,3,1,2,0,5,2,4,2,2,99999,99999,99999,1,18,3,99999,99999,5,8884.3048,440.9,555420.7661,187140.4246,318424.0085,49856.33307,555420.7661,254694.7001,237843.1753,69009.18303,10381.72283,16149.87042,8924.29988,7289.78901,5925.5668,19820.54005,0,31813.68279,68528.52049,16851.52483,255765.368,44960.69794,7752.73555,1411.7,369.7
OSC02011,00000HU001,2004,40,1,1,1,1,0,0,3,1,1,0,5,1,1,1,12,1,1,1,1927,99999,1,11,1,1,4,2,4722.3592,741.5,1009044.419,516018.2353,384974.8514,108051.332,1009044.419,411355.3922,335384.7781,78015.49465,22650.70061,19398.69525,14546.80033,8690.5577,11627.10948,37697.72533,44957.58097,30096.67629,67703.43747,75970.61416,489584.7521,108104.2745,2180.75315,1035.6,1116.2
OSC02011,00000HU001,2004,41,1,1,1,1,0,0,3,1,3,0,2,0,5,1,12,1,1,1,1971,99999,1,16,3,99999,99999,5,4579.287,432.1,691480.7326,280025.1789,312011.5393,99444.01443,691480.7326,288293.4403,254823.0419,62593.14037,12679.27444,18152.12275,6043.96211,13373.53838,14877.07694,29521.0372,0,25868.52208,71714.36758,33470.39846,298170.0995,105017.1928,8836.97201,2748.5,80
OSC02011,00000HU001,2004,42,1,1,1,1,0,0,3,1,1,0,3,1,5,1,12,1,1,1,1974,99999,1,12,1,1,3,1,5732.1485,905.1,1194760.215,559948.058,495836.9321,138975.2253,1194760.215,525441.4528,436247.2083,75521.52268,10218.50595,19617.33726,12869.91665,18664.76378,25299.45558,45096.83356,18602.15922,26684.04551,183672.6681,89194.24453,509488.9867,159829.7759,15140.53611,1780,361.8
OSC02011,00000HU001,2004,43,1,1,1,1,0,0,3,1,3,0,2,0,6,1,14,1,1,1,99999,99999,1,15,3,99999,99999,5,4595.1301,311.2,327199.4044,91392.89013,191913.6652,43892.84902,327199.4044,181788.9672,161728.8736,56655.20024,1738.60171,20051.98551,8722.48056,3442.68772,10026.31093,13828.25827,0,13410.05033,33853.29834,20060.0936,94320.1709,51090.26628,3770.71551,1827.4,0
OSC02011,00000HU001,2004,44,1,1,1,1,0,0,3,1,1,0,2,1,7,1,19,1,1,2,99999,99999,1,7,1,1,3,1,4914.7071,279.3,341010.164,187559.3787,95576.84048,57873.94487,341010.164,174637.81,148415.3558,44293.90779,10759.72169,14632.93863,5312.60711,3953.91923,8507.45328,21366.67014,0,7440.12259,32148.01532,26222.45422,124487.3631,41884.99091,6170.50712,229.2,1.3
OSC02011,00000HU001,2004,45,1,1,1,1,0,0,3,1,1,0,3,2,6,1,4,1,1,1,1977,99999,1,12,1,1,4,2,4236.4746,741.6,955263.0155,563722.0394,328103.4691,63437.50705,955263.0155,398255.5438,317915.5718,62831.53582,8604.39732,20173.46198,10373.57199,10870.71256,7939.21694,48274.994,5299.12277,22430.00071,121118.5577,80339.97203,486706.6206,70300.85107,10480.61567,997.9,354.7
OSC02011,00000HU001,2004,46,1,1,1,1,0,0,3,1,3,0,2,0,6,1,16,1,1,1,99999,99999,1,17,3,99999,99999,5,5851.9852,461.4,602319.0215,232793.7582,287400.3477,82124.91565,602319.0215,246067.9002,222885.7392,50394.16667,17623.79821,16058.18008,9987.50891,4283.45946,9324.9633,25684.32195,0,22246.52884,67282.81174,23182.16106,269577.3198,86673.80155,9710.2756,1960.1,14.4
OSC02011,00000HU001,2004,47,1,1,1,0,99999,99999,3,1,2,1,3,1,1,1,13,1,1,1,1931,99999,1,13,1,2,1,4,7766.3688,599.2,0,0,0,0,193294.0926,189974.0926,189974.0926,66934.58541,18946.44377,18957.13928,6538.33769,6651.207,8902.56797,29363.8495,2750,12032.4362,18897.5258,0,3320,0,5552.05928,746.5,195.9
OSC02011,00000HU001,2004,48,1,1,1,1,0,0,3,1,2,0,2,2,6,1,17,1,1,1,1985,99999,1,14,1,2,1,4,4683.3826,444.9,0,0,0,0,93373.83065,93373.83065,93373.83065,32925.678,2396.68386,17135.80524,1844.6022,1120.0998,3655.09661,16769.87627,0,10927.85389,6598.13478,0,0,0,577.3468,1251.6,64.1
OSC02011,00000HU001,2004,49,1,1,1,1,0,0,3,1,1,1,2,1,7,2,5,2,2,99999,99999,2002,1,6,1,1,3,2,9448.2353,527.3,683979.8386,381017.8276,252135.0584,50826.95268,683979.8386,306759.1481,251336.7035,61113.1434,48577.86789,12172.81101,4302.85398,5670.47565,10523.67645,39379.15474,0,16668.58497,52928.13541,55422.44456,309875.6565,67345.03403,10598.40239,590.8,312.5
OSC02011,00000HU001,2004,50,1,1,1,1,0,0,3,1,2,0,5,2,1,2,5,2,2,99999,99999,2000,1,8,1,2,1,4,4525.5257,642.4,0,0,0,0,302682.3267,284655.8133,284655.8133,85462.14099,16775.2118,26190.03996,11463.96371,13704.82694,8307.9261,35993.5369,14475.4929,19456.13364,52826.54036,0,18026.51337,0,9272.51242,2006.1,176.7
OSC02011,00000HU001,2004,51,1,1,1,1,0,0,3,1,2,1,4,1,1,2,7,2,1,1,1937,99999,1,9,1,2,1,4,5848.7579,636,0,0,0,0,283029.849,257293.552,257293.552,86256.09364,8586.58563,20043.88941,5078.43468,16392.37469,11621.61036,32611.79133,13889.92986,29995.49619,32817.34617,0,25736.29706,0,6479.03507,684.3,975
OSC02011,00000HU001,2004,52,1,1,1,1,0,0,3,1,1,0,4,3,7,1,15,1,1,1,1940,99999,1,8,1,1,3,1,4675.9902,550.8,653655.3359,373387.2567,226056.4233,54211.65585,653655.3359,280136.502,236366.087,50999.34699,15880.33228,16940.54257,8699.67954,9822.89456,6325.06108,24758.68787,12892.71282,20685.13994,69361.68936,43770.41499,328001.5156,45517.31833,3625.47628,751,9.6
OSC02011,00000HU001,2004,53,1,1,1,1,0,0,3,1,1,0,4,2,1,1,6,1,1,1,1979,99999,1,11,1,1,4,2,4729.7515,1293.3,1434357.959,833814.3795,507909.9852,92633.59463,1434357.959,721869.4525,565605.6435,87611.67682,4938.73987,26474.05654,18654.70322,29273.37556,14914.56958,86818.47988,40795.81262,51337.18824,204787.0411,156263.809,604000.1809,108488.3259,9706.31016,1855.6,770
OSC02011,00000HU001,2004,54,1,1,1,1,0,0,3,1,3,0,2,0,7,1,18,1,1,1,1980,99999,1,15,3,99999,99999,5,4745.5946,489.5,1681047.755,280973.1046,1270951.887,129122.7637,1681047.755,672574.3519,624152.2273,67892.65771,60000.08443,20159.49463,15238.43794,20421.67789,21549.64024,187231.923,0,56462.49658,175195.8148,48422.12463,854687.2252,153786.1776,15502.38591,3957.8,18
OSC02011,00000HU001,2004,55,1,1,1,1,0,0,3,1,1,1,3,1,1,2,4,2,2,99999,99999,2003,1,7,1,1,3,2,5603.312,598.9,679143.7155,379006.6068,261894.9626,38242.14609,679143.7155,288705.9213,234261.8116,64617.14852,13877.33495,17826.56604,5792.46635,7790.31143,8731.53145,29500.63929,1333.33333,18901.04656,65891.43368,54444.10974,349477.2099,40960.58424,5759.52021,1302.6,573.2
OSC02011,00000HU001,2004,56,1,1,1,1,0,0,3,1,1,0,5,3,1,2,13,1,1,1,1978,99999,1,10,1,1,3,2,5088.4071,638.4,832003.9207,451819.6635,317798.2258,62386.03132,832003.9207,338776.1015,280860.5256,75796.4112,9642.56351,20305.67582,6454.01935,8924.82043,8546.81161,32857.50157,25474.86145,21782.5907,71075.26994,57915.57588,442139.0118,51088.80745,6747.73808,628.3,622.7
OSC02011,00000HU001,2004,57,1,1,1,1,0,0,3,1,2,1,5,2,1,1,11,1,1,1,1970,99999,1,9,1,2,2,4,5885.2772,578.7,0,0,0,0,381648.6315,331175.2072,331175.2072,95349.24298,13064.05256,25449.31798,8603.41328,13092.63253,15872.21755,39522.29345,33353.11044,42613.09858,44255.82782,0,50473.42433,0,8538.21729,881.3,1772.4
OSC02011,00000HU001,2004,58,1,1,1,1,0,0,3,1,3,1,2,0,5,2,19,1,1,1,1983,99999,1,16,3,99999,99999,5,6621.615,356.6,590512.2116,182943.0181,345159.5954,62409.598,590512.2116,308297.8084,282267.4685,65009.43222,37500.66764,16662.74618,10396.62794,11507.60659,12546.49599,37504.35206,0,32347.34995,58792.18993,26030.33991,227953.0938,54261.30936,6840.52801,2861.5,0
OSC02011,00000HU001,2004,59,1,1,1,1,0,0,3,1,3,1,2,0,6,1,9,1,1,1,1984,99999,1,15,3,99999,99999,5,6412.6884,541.3,855693.1524,208191.1661,502611.9604,144890.026,855693.1524,382059.1391,346124.6264,92844.4718,29019.49828,18181.75625,8220.7588,14994.08487,12722.06478,48884.57947,0,51900.02678,69357.38542,35934.51265,342296.457,131337.5563,4546.39942,3152,0
OSC02011,00000HU001,2004,60,1,1,1,1,0,0,3,1,1,0,4,2,1,1,18,1,1,2,1932,99999,1,9,1,1,3,1,4452.058,753.8,859951.5694,429862.7948,352148.3275,77940.44709,859951.5694,370056.746,296472.6046,70373.4966,22849.62726,22059.00828,8201.60565,14757.78524,10744.67452,38002.79699,11519.6011,30800.18481,67163.82419,73584.14137,408039.5901,81855.23332,6648.62831,938.4,605.9
OSC02011,00000HU001,2004,61,1,1,1,1,0,0,3,1,3,1,2,0,7,1,11,1,1,1,1977,99999,1,16,3,99999,99999,5,6057.6846,293.6,375615.1438,141987.1762,177455.6089,56172.35867,375615.1438,177873.1266,166516.2265,51360.59205,11883.13016,12275.67077,5498.18102,10139.46414,8008.05485,12116.25089,0,27259.45524,27975.42739,11356.90009,156829.8868,40912.13036,7753.30688,1079.4,57
OSC02011,00000HU001,2004,62,1,1,1,1,0,0,3,1,1,1,4,1,1,2,7,2,1,1,1934,99999,1,8,1,1,3,2,6812.4141,709.8,945990.8842,521844.7242,365068.243,59077.91695,945990.8842,367975.1395,289156.5735,73636.98206,11704.12799,18759.15554,6984.10247,7395.99533,16348.19533,37906.06128,21836.55316,35083.19916,59502.20121,78818.56596,518466.3543,59549.39037,14155.45137,1159.3,1420.3
OSC02011,00000HU001,2004,63,0,1,1,1,0,0,2,1,1,1,3,2,1,2,6,2,2,99999,99999,1993,2,11,2,1,2,2,5603.312,826.6,1048908.07,483999.4447,485875.0422,79033.58271,1048908.07,408672.3704,345650.6381,80409.27006,19241.30363,20952.6306,9589.16457,18540.60532,7342.07236,39027.76835,34538.86276,35367.07392,80641.8865,63021.73231,545238.4358,94997.26347,6562.2042,878.9,508.9
OSC02011,00000HU001,2004,64,1,1,1,1,0,0,3,1,2,0,2,1,4,1,12,1,1,1,1931,99999,1,12,1,2,1,4,4826.4547,561.9,0,0,0,0,257115.1417,238440.2083,238440.2083,66892.24289,11722.84225,25499.95466,8557.76448,12767.49581,14564.91568,23577.13074,0,17395.54533,57462.31649,0,18674.93333,0,11034.75791,2289.5,576.8
OSC02011,00000HU001,2004,65,1,1,1,1,0,0,3,1,1,1,2,1,7,1,6,1,2,99999,99999,1990,1,8,1,1,3,1,6493.9296,540.7,708575.8703,322190.6494,293764.6417,92620.57932,708575.8703,321421.4646,264723.5221,57230.80571,16936.41458,14947.30495,6601.66037,9366.65134,10644.9102,35372.36306,0,31165.0257,82458.38616,56697.94258,301345.9243,85808.48145,6014.45926,1135.6,53
